Date,home,away,Home Score,Away Score,result,Tries scored H,Tries scored A,Neutral venue,Crowds
01/01/2000,Grenoble,Neath,21,10,Home,,,0,1
01/01/2000,Edinburgh,Neath,23,20,Home,,,0,1
01/01/2000,Northampton,Grenoble,27,16,Home,,,0,1
01/01/2000,Neath,Northampton,23,39,Away,,,0,1
01/01/2000,Grenoble,Edinburgh,21,19,Home,,,0,1
01/01/2000,Munster,Stade Francais,27,10,Home,,,0,1
01/01/2000,Scarlets,Cardiff Blues,22,3,Home,,,0,1
01/01/2000,Toulouse,Montferrand,31,18,Home,,,0,1
01/01/2000,Northampton,Wasps,25,22,Home,,,0,1
01/01/2000,Toulouse,Munster,25,31,Away,,,0,1
01/01/2000,Northampton,Scarlets,31,28,Home,,,0,1
01/01/2000,Northampton,Munster,9,8,Home,,,1,1
01/01/2001,Edinburgh,Leinster,29,21,Home,,,0,1
01/01/2001,Biarritz,Northampton,37,30,Home,,,0,1
01/01/2001,Leinster,Biarritz,35,9,Home,,,0,1
01/01/2001,Northampton,Edinburgh,22,23,Away,,,0,1
01/01/2001,Northampton,Leinster,8,14,Away,,,0,1
01/01/2001,Biarritz,Edinburgh,29,18,Home,,,0,1
01/01/2001,Edinburgh,Biarritz,27,35,Away,,,0,1
01/01/2001,Leinster,Northampton,40,31,Home,,,0,1
01/01/2001,Leinster,Edinburgh,34,34,Draw,,,0,1
01/01/2001,Northampton,Biarritz,32,24,Home,,,0,1
01/01/2001,Edinburgh,Northampton,18,15,Home,,,0,1
01/01/2001,Biarritz,Leinster,30,10,Home,,,0,1
01/01/2001,Swansea,Wasps,54,28,Home,,,0,1
01/01/2001,Stade Francais,L'Aquila,92,7,Home,,,0,1
01/01/2001,Swansea,Stade Francais,18,16,Home,,,0,1
01/01/2001,L'Aquila,Wasps,10,39,Away,,,0,1
01/01/2001,Stade Francais,Wasps,40,10,Home,,,0,1
01/01/2001,L'Aquila,Swansea,6,70,Away,,,0,1
01/01/2001,Swansea,L'Aquila,73,3,Home,,,0,1
01/01/2001,Wasps,Stade Francais,28,31,Away,,,0,1
01/01/2001,L'Aquila,Stade Francais,9,76,Away,,,0,1
01/01/2001,Wasps,Swansea,28,16,Home,,,0,1
01/01/2001,Stade Francais,Swansea,42,13,Home,,,0,1
01/01/2001,Wasps,L'Aquila,42,5,Home,,,0,1
01/01/2001,Ulster,Cardiff Blues,32,23,Home,,,0,1
01/01/2001,Toulouse,Saracens,22,32,Away,,,0,1
01/01/2001,Cardiff Blues,Toulouse,26,17,Home,,,0,1
01/01/2001,Saracens,Ulster,55,25,Home,,,0,1
01/01/2001,Saracens,Cardiff Blues,23,32,Away,,,0,1
01/01/2001,Toulouse,Ulster,35,35,Draw,,,0,1
01/01/2001,Cardiff Blues,Saracens,24,14,Home,,,0,1
01/01/2001,Ulster,Toulouse,25,29,Away,,,0,1
01/01/2001,Cardiff Blues,Ulster,42,16,Home,,,0,1
01/01/2001,Saracens,Toulouse,37,30,Home,,,0,1
01/01/2001,Ulster,Saracens,13,21,Away,,,0,1
01/01/2001,Toulouse,Cardiff Blues,38,27,Home,,,0,1
01/01/2001,Munster,Newport,26,18,Home,,,0,1
01/01/2001,Bath,Castres,25,13,Home,,,0,1
01/01/2001,Newport,Bath,28,17,Home,,,0,1
01/01/2001,Castres,Munster,29,32,Away,,,0,1
01/01/2001,Munster,Bath,31,9,Home,,,0,1
01/01/2001,Newport,Castres,21,20,Home,,,0,1
01/01/2001,Bath,Munster,18,5,Home,,,0,1
01/01/2001,Castres,Newport,43,21,Home,,,0,1
01/01/2001,Castres,Bath,19,32,Away,,,0,1
01/01/2001,Newport,Munster,24,39,Away,,,0,1
01/01/2001,Munster,Castres,21,11,Home,,,0,1
01/01/2001,Bath,Newport,38,10,Home,,,0,1
01/01/2001,Scarlets,Gloucester,20,27,Away,,,0,1
01/01/2001,Roma,Colomiers,5,14,Away,,,0,1
01/01/2001,Colomiers,Scarlets,6,19,Away,,,0,1
01/01/2001,Gloucester,Roma,52,12,Home,,,0,1
01/01/2001,Scarlets,Roma,46,0,Home,,,0,1
01/01/2001,Gloucester,Colomiers,22,22,Draw,,,0,1
01/01/2001,Colomiers,Gloucester,30,19,Home,,,0,1
01/01/2001,Roma,Scarlets,21,41,Away,,,0,1
01/01/2001,Gloucester,Scarlets,28,27,Home,,,0,1
01/01/2001,Colomiers,Roma,55,21,Home,,,0,1
01/01/2001,Scarlets,Colomiers,34,21,Home,,,0,1
01/01/2001,Roma,Gloucester,29,38,Away,,,0,1
01/01/2001,Pontypridd,Glasgow,40,25,Home,,,0,1
01/01/2001,Leicester,Pau,46,18,Home,,,0,1
01/01/2001,Pau,Pontypridd,12,9,Home,,,0,1
01/01/2001,Glasgow,Leicester,21,33,Away,,,0,1
01/01/2001,Pontypridd,Leicester,18,11,Home,,,0,1
01/01/2001,Glasgow,Pau,24,46,Away,,,0,1
