"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2001-01-01,"Stade Francais","Munster",16,15,"Home",NA,NA,0,1
2001-01-01,"Leicester","Gloucester",19,15,"Home",NA,NA,0,1
2001-01-01,"Stade Francais","Leicester",30,34,"Away",NA,NA,1,1
2001-09-28,"Cardiff Blues","Northampton",25,17,"Home",NA,NA,0,1
2001-09-28,"Glasgow","Montferrand",19,19,"Draw",NA,NA,0,1
2001-09-28,"Leinster","Toulouse",40,10,"Home",NA,NA,0,1
2001-09-29,"Biarritz","Bath",6,14,"Away",NA,NA,0,1
2001-09-29,"Bridgend","Harlequins",24,30,"Away",NA,NA,0,1
2001-09-29,"Leicester","Scarlets",12,9,"Home",NA,NA,0,1
2001-09-29,"Munster","Castres",28,23,"Home",NA,NA,0,1
2001-09-29,"Newcastle","Newport",21,34,"Away",NA,NA,0,1
2001-09-29,"Perpignan","Calvisano",56,3,"Home",NA,NA,0,1
2001-09-29,"Swansea","Edinburgh",21,16,"Home",NA,NA,0,1
2001-09-29,"Treviso","Ulster",28,33,"Away",NA,NA,0,1
2001-09-30,"Wasps","Stade Francais",19,25,"Away",NA,NA,0,1
2001-10-05,"Edinburgh","Biarritz",6,6,"Draw",NA,NA,0,1
2001-10-05,"Leinster","Newcastle",28,9,"Home",NA,NA,0,1
2001-10-05,"Scarlets","Perpignan",20,6,"Home",NA,NA,0,1
2001-10-05,"Ulster","Wasps",42,19,"Home",NA,NA,0,1
2001-10-06,"Bath","Swansea",38,9,"Home",NA,NA,0,1
2001-10-06,"Castres","Bridgend",35,23,"Home",NA,NA,0,1
2001-10-06,"Harlequins","Munster",8,24,"Away",NA,NA,0,1
2001-10-06,"Montferrand","Cardiff Blues",37,10,"Home",NA,NA,0,1
2001-10-06,"Newport","Toulouse",21,20,"Home",NA,NA,0,1
2001-10-06,"Stade Francais","Treviso",42,9,"Home",NA,NA,0,1
2001-10-07,"Calvisano","Leicester",3,37,"Away",NA,NA,0,1
2001-10-07,"Northampton","Glasgow",30,9,"Home",NA,NA,0,1
2001-10-26,"Bridgend","Munster",12,16,"Away",NA,NA,0,1
2001-10-26,"Leinster","Newport",21,6,"Home",NA,NA,0,1
